Question,Context,Answer,Ground-Truth
What is the CMC module?,,,"The cross-modal context module facilitates interaction between visual features from whole slide images and textual features from reports by serving as an external memory that stores and updates knowledge from previous iterations, with responses aggregated back into the original visual features to infuse cross-modal information."
What is the role of attentive pooling?,,,Attentive pooling aggregates the processed features within each region to obtain compact region-level representations after hierarchical encoding of whole slide images.
What is the Region Q-Former?,,,The Region Q-Former extracts fine-grained embeddings from each region of a whole slide image by using learnable semantic query tokens to distill salient semantics from the patch features.
What is the role of the visual token cross-attention module?,,,The visual token cross-attention module iteratively aggregates key visual features from patch embeddings using a learnable visual token as the query to focus on important pathological patterns and suppress redundancy.
What is the knowledge retrieval mechanism?,,,The knowledge retrieval mechanism fetches semantically relevant historical report information from a knowledge bank by matching high-attention patches from the visual branch to emulate how pathologists recall past diagnosis records.
What is the bi-modal concurrent learning strategy?,,,The bi-modal concurrent learning strategy uses learnable visual and textual tokens with shared-weight cross-attention layers to dynamically extract and align key features from visual data and retrieved knowledge.
What is the hierarchical position-aware module?,,,The hierarchical position-aware module strengthens spatial awareness in whole slide images by incorporating multi-scale convolutional layers into the transformer encoder layers to capture heterogeneous tissue structures.
What is the Modality-Scale Attention mechanism?,,,The Modality-Scale Attention mechanism processes hierarchical edges in the graph to enable semantic progression from coarse to fine details across visual and textual modalities while preserving hierarchical consistency.
What is the Text-Guided Dynamic Filtering module?,,,The Text-Guided Dynamic Filtering module removes semantically irrelevant or weakly correlated patch-text pairs to improve the quality of cross-modal alignment during training.
What is text-conditioned region feature alignment?,,,Text-conditioned region feature alignment establishes semantic associations between regional visual features and subcaption textual features using a cross-attention mechanism where subcaption features serve as queries to attend to the visual regions.
